Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
,Opening Balance,,,,,245000.00
01/10/24,NEFT CR-SALARY INFOSYS LTD,REF20241001,01/10/24,,95000.00,340000.00
03/10/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823001,03/10/24,425.50,,339574.50
04/10/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712001,04/10/24,318.00,,339256.50
05/10/24,NETFLIX INDIA SUBSCRIPTION,UPI990011001,05/10/24,649.00,,338607.50
06/10/24,SPOTIFY INDIA PREMIUM,UPI990022001,06/10/24,119.00,,338488.50
08/10/24,HOME LOAN EMI HDFC BANK,UPI100801001,08/10/24,32500.00,,305988.50
10/10/24,RENT NOBROKER TECHNOLOGIES,UPI100802001,10/10/24,24000.00,,281988.50
12/10/24,SIP ZERODHA BSE NIFTY50,UPI100803001,12/10/24,10000.00,,271988.50
14/10/24,UPI/DR/334422/AMAZON PAY INDIA,UPI334422001,14/10/24,3499.00,,268489.50
15/10/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823002,15/10/24,512.00,,267977.50
16/10/24,OLA CABS BANGALORE,UPI667788001,16/10/24,245.00,,267732.50
17/10/24,UPI/DR/445566/UBER INDIA,UPI445566001,17/10/24,189.00,,267543.50
18/10/24,DOMINOS PIZZA INDIA,UPI778899001,18/10/24,687.00,,266856.50
19/10/24,AMAZON PAY INDIA,UPI334422002,19/10/24,1299.00,,265557.50
20/10/24,BESCOM ELECTRICITY BILL,UPI556677001,20/10/24,1850.00,,263707.50
22/10/24,AIRTEL POSTPAID BILL,UPI223344001,22/10/24,899.00,,262808.50
23/10/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712002,23/10/24,499.00,,262309.50
24/10/24,MYNTRA DESIGNS PVT LTD,UPI991122001,24/10/24,2350.00,,259959.50
25/10/24,BIGBASKET GROCERIES,UPI334411001,25/10/24,1643.00,,258316.50
26/10/24,IMPS/CR/GROWW REDEMPTION,REF20241026,26/10/24,,5000.00,263316.50
27/10/24,GROWW SIP MUTUAL FUND,UPI112233001,27/10/24,5000.00,,258316.50
28/10/24,UPI/DR/123456/STARBUCKS INDIA,UPI123456001,28/10/24,620.00,,257696.50
29/10/24,IRCTC ETICKET BOOKING,UPI445500001,29/10/24,2340.00,,255356.50
30/10/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823003,30/10/24,378.00,,254978.50
31/10/24,LIC PREMIUM PAYMENT,UPI998877001,31/10/24,4500.00,,250478.50
01/11/24,NEFT CR-SALARY INFOSYS LTD,REF20241101,01/11/24,,95000.00,345478.50
02/11/24,UPI/DR/112233/NAMMA CAFE KORAMANGALA,UPI112233101,02/11/24,480.00,,344998.50
03/11/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712003,03/11/24,389.00,,344609.50
05/11/24,NETFLIX INDIA SUBSCRIPTION,UPI990011002,05/11/24,649.00,,343960.50
06/11/24,SPOTIFY INDIA PREMIUM,UPI990022002,06/11/24,119.00,,343841.50
08/11/24,HOME LOAN EMI HDFC BANK,UPI100801002,08/11/24,32500.00,,311341.50
10/11/24,RENT NOBROKER TECHNOLOGIES,UPI100802002,10/11/24,24000.00,,287341.50
11/11/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823004,11/11/24,267.00,,287074.50
12/11/24,SIP ZERODHA BSE NIFTY50,UPI100803002,12/11/24,10000.00,,277074.50
13/11/24,FLIPKART INTERNET PVT LTD,UPI556644001,13/11/24,3799.00,,273275.50
14/11/24,UPI/DR/445566/UBER INDIA,UPI445566002,14/11/24,312.00,,272963.50
15/11/24,ATM WDL HDFC BANK KORAMANGALA,UPI781234001,15/11/24,5000.00,,267963.50
16/11/24,AMAZON PAY INDIA SHOPPING,UPI334422003,16/11/24,5699.00,,262264.50
17/11/24,UPI/DR/334422/AMAZON PAY INDIA,UPI334422004,17/11/24,499.00,,261765.50
18/11/24,JIO RECHARGE PREPAID,UPI667711001,18/11/24,299.00,,261466.50
19/11/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823005,19/11/24,445.00,,261021.50
20/11/24,BESCOM ELECTRICITY BILL,UPI556677002,20/11/24,2120.00,,258901.50
21/11/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712004,21/11/24,672.00,,258229.50
23/11/24,YOUTUBE PREMIUM SUBSCRIPTION,UPI990033001,23/11/24,129.00,,258100.50
24/11/24,UPI/DR/223344/MAKEMYTRIP FLIGHT,UPI223344101,24/11/24,8450.00,,249650.50
25/11/24,BIGBASKET GROCERIES,UPI334411002,25/11/24,2100.00,,247550.50
26/11/24,GROWW SIP MUTUAL FUND,UPI112233002,26/11/24,5000.00,,242550.50
27/11/24,UPI/DR/123456/STARBUCKS INDIA,UPI123456002,27/11/24,590.00,,241960.50
28/11/24,SMS CHARGES NOV,UPI998800001,28/11/24,23.60,,241936.90
29/11/24,UPI/CR/AMAZON PAY CASHBACK,REF20241129,29/11/24,,189.00,242125.90
30/11/24,UPI/DR/778800/DECATHLON SPORTS,UPI778800001,30/11/24,4500.00,,237625.90
01/12/24,NEFT CR-SALARY INFOSYS LTD,REF20241201,01/12/24,,95000.00,332625.90
02/12/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823006,02/12/24,398.00,,332227.90
03/12/24,UPI/DR/445566/UBER INDIA,UPI445566003,03/12/24,278.00,,331949.90
04/12/24,UPI/DR/334422/AMAZON PAY INDIA,UPI334422005,04/12/24,2199.00,,329750.90
