Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
,Opening Balance,,,,,80000.00
01/12/24,NEFT CR-SALARY TATA CONSULTANCY,REF20241201,01/12/24,,70000.00,150000.00
03/12/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823001,03/12/24,380.00,,149620.00
05/12/24,NETFLIX INDIA SUBSCRIPTION,UPI990011001,05/12/24,649.00,,148971.00
07/12/24,HOME LOAN EMI HDFC BANK,UPI100801001,07/12/24,25000.00,,123971.00
10/12/24,RENT NOBROKER TECHNOLOGIES,UPI100802001,10/12/24,15000.00,,108971.00
12/12/24,SIP ZERODHA BSE NIFTY50,UPI100803001,12/12/24,5000.00,,103971.00
14/12/24,AMAZON PAY INDIA,UPI334422001,14/12/24,1599.00,,102372.00
16/12/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712001,16/12/24,456.00,,101916.00
18/12/24,BESCOM ELECTRICITY BILL,UPI556677001,18/12/24,1650.00,,100266.00
20/12/24,OLA CABS BANGALORE,UPI667788001,20/12/24,220.00,,100046.00
22/12/24,SPOTIFY INDIA PREMIUM,UPI990022001,22/12/24,119.00,,99927.00
24/12/24,IRCTC ETICKET BOOKING,UPI445500001,24/12/24,2200.00,,97727.00
26/12/24,FLIPKART INTERNET PVT LTD,UPI556644001,26/12/24,3499.00,,94228.00
28/12/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823002,28/12/24,290.00,,93938.00
01/01/25,NEFT CR-SALARY TATA CONSULTANCY,REF20250101,01/01/25,,70000.00,163938.00
03/01/25,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823003,03/01/25,415.00,,163523.00
05/01/25,NETFLIX INDIA SUBSCRIPTION,UPI990011002,05/01/25,649.00,,162874.00
07/01/25,HOME LOAN EMI HDFC BANK,UPI100801002,07/01/25,25000.00,,137874.00
10/01/25,RENT NOBROKER TECHNOLOGIES,UPI100802002,10/01/25,15000.00,,122874.00
12/01/25,SIP ZERODHA BSE NIFTY50,UPI100803002,12/01/25,5000.00,,117874.00
14/01/25,AMAZON PAY INDIA,UPI334422002,14/01/25,2299.00,,115575.00
16/01/25,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712002,16/01/25,389.00,,115186.00
18/01/25,BESCOM ELECTRICITY BILL,UPI556677002,18/01/25,1720.00,,113466.00
20/01/25,UPI/DR/445566/UBER INDIA,UPI445566001,20/01/25,310.00,,113156.00
22/01/25,SPOTIFY INDIA PREMIUM,UPI990022002,22/01/25,119.00,,113037.00
24/01/25,MYNTRA DESIGNS PVT LTD,UPI991122001,24/01/25,2100.00,,110937.00
26/01/25,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823004,26/01/25,340.00,,110597.00
28/01/25,UPI/CR/AMAZON PAY CASHBACK,REF20250128,28/01/25,,180.00,110777.00
30/01/25,UPI/DR/998811/MEDPLUS PHARMACY,UPI998811001,30/01/25,750.00,,110027.00
